frame_index,timestamp_ms,label,notes
0,0.000,Normal,
1,5.000,Normal,
2,10.000,Normal,
3,15.000,Normal,
4,20.000,Normal,
5,25.000,Normal,
6,30.000,Normal,
7,35.000,Normal,
8,40.000,Normal,
9,45.000,Normal,
10,50.000,Normal,
11,55.000,Normal,
12,60.000,Normal,
13,65.000,Normal,
14,70.000,Normal,
15,75.000,Normal,
16,80.000,Normal,
17,85.000,Normal,
18,90.000,Normal,
19,95.000,Normal,
20,100.000,Normal,
21,105.000,Normal,
22,110.000,Normal,
23,115.000,Normal,
24,120.000,Normal,
25,125.000,Normal,
26,130.000,Normal,
27,135.000,Normal,
28,140.000,Normal,
